order_id,product_category,price,customer_rating,shipping_status,order_date
1001,Electronics,262.9,,Pending,2026-04-25
1002,Beauty,112.96,2.0,Cancelled,2026-06-02
1003,Home,439.01,5.0,Cancelled,2026-06-01
1004,Electronics,892.06,2.0,Pending,2026-05-23
1005,Clothing,123.89,3.0,Delivered,2026-05-24
1006,Clothing,103.94,5.0,Delivered,2026-04-30
1007,Clothing,108.46,3.0,Cancelled,2026-03-22
1008,Beauty,171.35,5.0,Delivered,2026-04-04
1009,Home,139.84,1.0,Pending,2026-06-09
1010,Home,254.92,4.0,Pending,2026-03-16
1011,Clothing,44.86,1.0,Delivered,2026-04-19
1012,Beauty,197.66,1.0,Cancelled,2026-06-21
1013,Beauty,189.37,5.0,Delivered,2026-04-12
1014,Clothing,20.32,2.0,Delivered,2026-03-17
1015,Clothing,110.25,4.0,Delivered,2026-05-19
1016,Clothing,139.91,3.0,Delivered,2026-04-27
1017,Clothing,39.38,3.0,Delivered,2026-03-02
1018,Electronics,703.14,5.0,Delivered,2026-03-04
1019,Electronics,1102.81,1.0,Pending,2026-05-24
1020,Clothing,19.58,4.0,Cancelled,2026-04-08
1021,Home,354.76,5.0,Delivered,2026-06-06
1022,Clothing,55.14,4.0,Delivered,2026-06-02
1023,Clothing,139.79,,Cancelled,2026-03-06
1024,Electronics,1166.72,,Delivered,2026-05-20
1025,Electronics,1135.91,3.0,Delivered,2026-06-11
1026,Home,247.62,3.0,Delivered,2026-05-28
1027,Clothing,131.38,5.0,Delivered,2026-05-08
1028,Electronics,1021.23,5.0,Delivered,2026-05-08
1029,Electronics,416.97,3.0,Cancelled,2026-03-20
1030,Clothing,126.9,,Delivered,2026-05-03
1031,Home,37.76,2.0,Delivered,2026-03-16
1032,Clothing,95.5,4.0,Delivered,2026-04-20
1033,Clothing,46.05,4.0,Delivered,2026-06-13
1034,Beauty,32.91,5.0,Delivered,2026-04-06
1035,Beauty,24.62,,Pending,2026-06-12
1036,Beauty,142.29,3.0,Pending,2026-05-12
1037,Clothing,60.88,2.0,Delivered,2026-05-08
1038,Clothing,112.84,2.0,Cancelled,2026-04-11
1039,Home,51.37,2.0,Pending,2026-04-26
1040,Electronics,412.58,3.0,Pending,2026-05-05
1041,Clothing,87.83,5.0,Delivered,2026-03-09
1042,Electronics,959.33,4.0,Delivered,2026-06-15
1043,Clothing,58.03,4.0,Delivered,2026-06-08
1044,Beauty,128.92,2.0,Delivered,2026-05-25
1045,Clothing,134.61,5.0,Delivered,2026-05-03
1046,Home,315.61,5.0,Delivered,2026-05-25
1047,Clothing,46.45,1.0,Cancelled,2026-03-22
1048,Electronics,78.06,5.0,Cancelled,2026-04-03
1049,Electronics,1050.61,4.0,Cancelled,2026-04-24
1050,Clothing,17.87,1.0,Delivered,2026-03-29
1051,Beauty,176.19,4.0,Delivered,2026-04-07
1052,Home,273.89,4.0,Delivered,2026-06-18
1053,Beauty,188.42,,Delivered,2026-06-05
1054,Beauty,161.77,5.0,Delivered,2026-03-18
1055,Electronics,1197.62,5.0,Delivered,2026-05-10
1056,Beauty,76.64,4.0,Delivered,2026-05-04
1057,Clothing,118.57,4.0,Pending,2026-06-05
1058,Clothing,69.26,3.0,Delivered,2026-03-01
1059,Clothing,79.78,4.0,Pending,2026-05-27
1060,Clothing,99.71,4.0,Delivered,2026-03-04
1061,Electronics,1054.73,1.0,Delivered,2026-03-04
1062,Clothing,147.85,4.0,Delivered,2026-05-21
1063,Beauty,155.97,5.0,Delivered,2026-03-27
1064,Electronics,530.43,4.0,Delivered,2026-04-12
1065,Clothing,71.88,1.0,Delivered,2026-04-28
1066,Electronics,898.22,,Delivered,2026-04-01
